Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [0][   0/1256]	Time (s):  6.321	Loss: -0.0173
Epoch: [0][  10/1256]	Time (s):  0.185	Loss: 0.3813
Epoch: [0][  20/1256]	Time (s):  0.185	Loss: 0.2143
Epoch: [0][  30/1256]	Time (s):  0.185	Loss: -0.0794
Epoch: [0][  40/1256]	Time (s):  0.185	Loss: -0.3559
Epoch: [0][  50/1256]	Time (s):  0.185	Loss: 0.7518
Epoch: [0][  60/1256]	Time (s):  0.186	Loss: -0.9357
Epoch: [0][  70/1256]	Time (s):  0.186	Loss: -0.9661
Epoch: [0][  80/1256]	Time (s):  0.186	Loss: -0.9667
Epoch: [0][  90/1256]	Time (s):  0.186	Loss: -0.9964
Epoch: [0][ 100/1256]	Time (s):  0.186	Loss: -0.9983
Epoch: [0][ 110/1256]	Time (s):  0.185	Loss: -0.9991
Epoch: [0][ 120/1256]	Time (s):  0.185	Loss: -0.9995
Epoch: [0][ 130/1256]	Time (s):  0.186	Loss: -0.9991
Epoch: [0][ 140/1256]	Time (s):  0.186	Loss: -0.9990
Epoch: [0][ 150/1256]	Time (s):  0.187	Loss: -0.9995
Epoch: [0][ 160/1256]	Time (s):  0.187	Loss: -0.9997
Epoch: [0][ 170/1256]	Time (s):  0.187	Loss: -0.9998
Epoch: [0][ 180/1256]	Time (s):  0.187	Loss: -0.9771
Epoch: [0][ 190/1256]	Time (s):  0.187	Loss: -0.9998
Epoch: [0][ 200/1256]	Time (s):  0.188	Loss: -0.9999
Epoch: [0][ 210/1256]	Time (s):  0.188	Loss: 0.9979
Epoch: [0][ 220/1256]	Time (s):  0.193	Loss: 0.9999
Epoch: [0][ 230/1256]	Time (s):  0.192	Loss: -0.9999
Epoch: [0][ 240/1256]	Time (s):  0.188	Loss: -0.9999
Epoch: [0][ 250/1256]	Time (s):  0.190	Loss: -0.9997
Epoch: [0][ 260/1256]	Time (s):  0.192	Loss: -1.0000
Epoch: [0][ 270/1256]	Time (s):  0.189	Loss: -0.9998
Epoch: [0][ 280/1256]	Time (s):  0.188	Loss: -1.0000
Epoch: [0][ 290/1256]	Time (s):  0.189	Loss: -0.9999
Epoch: [0][ 300/1256]	Time (s):  0.189	Loss: -0.9998
Epoch: [0][ 310/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [0][ 320/1256]	Time (s):  0.192	Loss: -0.9829
Epoch: [0][ 330/1256]	Time (s):  0.193	Loss: 0.9999
Epoch: [0][ 340/1256]	Time (s):  0.188	Loss: -0.9999
Epoch: [0][ 350/1256]	Time (s):  0.189	Loss: -0.9998
Epoch: [0][ 360/1256]	Time (s):  0.189	Loss: -0.9999
Epoch: [0][ 370/1256]	Time (s):  0.189	Loss: -0.9999
Epoch: [0][ 380/1256]	Time (s):  0.197	Loss: -1.0000
Epoch: [0][ 390/1256]	Time (s):  0.198	Loss: 0.9793
Epoch: [0][ 400/1256]	Time (s):  0.196	Loss: -0.9977
Epoch: [0][ 410/1256]	Time (s):  0.198	Loss: -1.0000
Epoch: [0][ 420/1256]	Time (s):  0.194	Loss: 1.0000
Epoch: [0][ 430/1256]	Time (s):  0.194	Loss: 0.9978
Epoch: [0][ 440/1256]	Time (s):  0.196	Loss: 1.0000
Epoch: [0][ 450/1256]	Time (s):  0.197	Loss: -0.9999
Epoch: [0][ 460/1256]	Time (s):  0.199	Loss: -0.9998
Epoch: [0][ 470/1256]	Time (s):  0.196	Loss: -1.0000
Epoch: [0][ 480/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][ 490/1256]	Time (s):  0.196	Loss: -0.9860
Epoch: [0][ 500/1256]	Time (s):  0.197	Loss: -0.9997
Epoch: [0][ 510/1256]	Time (s):  0.193	Loss: -0.9997
Epoch: [0][ 520/1256]	Time (s):  0.196	Loss: -0.9703
Epoch: [0][ 530/1256]	Time (s):  0.197	Loss: -0.9996
Epoch: [0][ 540/1256]	Time (s):  0.194	Loss: 0.9998
Epoch: [0][ 550/1256]	Time (s):  0.194	Loss: -0.9998
Epoch: [0][ 560/1256]	Time (s):  0.195	Loss: -0.9998
Epoch: [0][ 570/1256]	Time (s):  0.195	Loss: -0.9997
Epoch: [0][ 580/1256]	Time (s):  0.194	Loss: -0.9996
Epoch: [0][ 590/1256]	Time (s):  0.193	Loss: 0.9993
Epoch: [0][ 600/1256]	Time (s):  0.193	Loss: 0.9999
Epoch: [0][ 610/1256]	Time (s):  0.195	Loss: 0.9999
Epoch: [0][ 620/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [0][ 630/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][ 640/1256]	Time (s):  0.196	Loss: -0.9997
Epoch: [0][ 650/1256]	Time (s):  0.198	Loss: -0.9996
Epoch: [0][ 660/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][ 670/1256]	Time (s):  0.194	Loss: -0.9997
Epoch: [0][ 680/1256]	Time (s):  0.194	Loss: -0.9998
Epoch: [0][ 690/1256]	Time (s):  0.194	Loss: 0.9872
Epoch: [0][ 700/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][ 710/1256]	Time (s):  0.196	Loss: -1.0000
Epoch: [0][ 720/1256]	Time (s):  0.195	Loss: -0.9981
Epoch: [0][ 730/1256]	Time (s):  0.194	Loss: -0.9998
Epoch: [0][ 740/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [0][ 750/1256]	Time (s):  0.194	Loss: -1.0000
Epoch: [0][ 760/1256]	Time (s):  0.194	Loss: -1.0000
Epoch: [0][ 770/1256]	Time (s):  0.194	Loss: -1.0000
Epoch: [0][ 780/1256]	Time (s):  0.194	Loss: -0.9994
Epoch: [0][ 790/1256]	Time (s):  0.194	Loss: -0.9997
Epoch: [0][ 800/1256]	Time (s):  0.193	Loss: -0.9996
Epoch: [0][ 810/1256]	Time (s):  0.195	Loss: -0.9850
Epoch: [0][ 820/1256]	Time (s):  0.193	Loss: -0.9998
Epoch: [0][ 830/1256]	Time (s):  0.194	Loss: -0.9998
Epoch: [0][ 840/1256]	Time (s):  0.193	Loss: 0.9997
Epoch: [0][ 850/1256]	Time (s):  0.195	Loss: 0.9988
Epoch: [0][ 860/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][ 870/1256]	Time (s):  0.194	Loss: -0.9818
Epoch: [0][ 880/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][ 890/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [0][ 900/1256]	Time (s):  0.197	Loss: -0.9805
Epoch: [0][ 910/1256]	Time (s):  0.193	Loss: 0.9992
Epoch: [0][ 920/1256]	Time (s):  0.194	Loss: 0.9994
Epoch: [0][ 930/1256]	Time (s):  0.194	Loss: 0.9994
Epoch: [0][ 940/1256]	Time (s):  0.212	Loss: -0.9995
Epoch: [0][ 950/1256]	Time (s):  0.194	Loss: 0.9998
Epoch: [0][ 960/1256]	Time (s):  0.195	Loss: -0.9999
Epoch: [0][ 970/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [0][ 980/1256]	Time (s):  0.195	Loss: -1.0000
Epoch: [0][ 990/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1000/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1010/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1020/1256]	Time (s):  0.193	Loss: -0.9799
Epoch: [0][1030/1256]	Time (s):  0.193	Loss: -0.9996
Epoch: [0][1040/1256]	Time (s):  0.194	Loss: -0.9996
Epoch: [0][1050/1256]	Time (s):  0.193	Loss: -0.9999
