Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [0][  0/628]	Time (s):  8.046	Loss: -0.2630
Epoch: [0][ 10/628]	Time (s):  0.289	Loss: -0.1172
Epoch: [0][ 20/628]	Time (s):  0.289	Loss: -0.0963
Epoch: [0][ 30/628]	Time (s):  0.292	Loss: -0.0766
Epoch: [0][ 40/628]	Time (s):  0.292	Loss: -0.0228
Epoch: [0][ 50/628]	Time (s):  0.292	Loss: -0.0474
Epoch: [0][ 60/628]	Time (s):  0.292	Loss: -0.1606
Epoch: [0][ 70/628]	Time (s):  0.292	Loss: -0.0684
Epoch: [0][ 80/628]	Time (s):  0.293	Loss: -0.0003
Epoch: [0][ 90/628]	Time (s):  0.296	Loss: -0.0412
Epoch: [0][100/628]	Time (s):  0.292	Loss: -0.1971
Epoch: [0][110/628]	Time (s):  0.294	Loss: -0.1002
Epoch: [0][120/628]	Time (s):  0.294	Loss: -0.2099
Epoch: [0][130/628]	Time (s):  0.292	Loss: -0.1191
Epoch: [0][140/628]	Time (s):  0.297	Loss: -0.1009
Epoch: [0][150/628]	Time (s):  0.293	Loss: -0.1733
Epoch: [0][160/628]	Time (s):  0.300	Loss: -0.0487
Epoch: [0][170/628]	Time (s):  0.292	Loss: 0.0478
Epoch: [0][180/628]	Time (s):  0.297	Loss: -0.1438
Epoch: [0][190/628]	Time (s):  0.297	Loss: -0.1285
Epoch: [0][200/628]	Time (s):  0.305	Loss: -0.1648
Epoch: [0][210/628]	Time (s):  0.301	Loss: -0.0811
Epoch: [0][220/628]	Time (s):  0.302	Loss: -0.1700
Epoch: [0][230/628]	Time (s):  0.300	Loss: -0.0305
Epoch: [0][240/628]	Time (s):  0.301	Loss: -0.2091
Epoch: [0][250/628]	Time (s):  0.301	Loss: -0.1781
Epoch: [0][260/628]	Time (s):  0.298	Loss: -0.0798
Epoch: [0][270/628]	Time (s):  0.301	Loss: -0.2534
Epoch: [0][280/628]	Time (s):  0.301	Loss: -0.1221
Epoch: [0][290/628]	Time (s):  0.298	Loss: -0.1346
