Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'efficientnet_v2_s'
Epoch: [0][ 0/78]	Time (s): 15.175	Loss: 0.0007
Epoch: [0][10/78]	Time (s):  5.324	Loss: -0.0076
Epoch: [0][20/78]	Time (s):  4.245	Loss: -0.0337
Epoch: [0][30/78]	Time (s):  5.417	Loss: -0.1130
Epoch: [0][40/78]	Time (s):  6.329	Loss: -0.2984
Epoch: [0][50/78]	Time (s):  4.387	Loss: -0.5297
Epoch: [0][60/78]	Time (s):  5.481	Loss: -0.6434
Epoch: [0][70/78]	Time (s):  4.477	Loss: -0.7127
Epoch: [1][ 0/78]	Time (s): 21.266	Loss: -0.7450
Epoch: [1][10/78]	Time (s):  4.987	Loss: -0.7760
Epoch: [1][20/78]	Time (s):  4.172	Loss: -0.8100
Epoch: [1][30/78]	Time (s):  4.433	Loss: -0.7553
Epoch: [1][40/78]	Time (s):  4.848	Loss: -0.6410
Epoch: [1][50/78]	Time (s):  4.408	Loss: -0.6883
Epoch: [1][60/78]	Time (s):  4.267	Loss: -0.7711
Epoch: [1][70/78]	Time (s):  5.386	Loss: -0.7808
Epoch: [2][ 0/78]	Time (s): 18.145	Loss: -0.7576
Epoch: [2][10/78]	Time (s):  5.876	Loss: -0.7862
Epoch: [2][20/78]	Time (s):  3.999	Loss: -0.7910
Epoch: [2][30/78]	Time (s):  4.148	Loss: -0.7864
Epoch: [2][40/78]	Time (s):  4.484	Loss: -0.8206
Epoch: [2][50/78]	Time (s):  5.749	Loss: -0.7936
Epoch: [2][60/78]	Time (s):  5.967	Loss: -0.7871
Epoch: [2][70/78]	Time (s):  3.959	Loss: -0.7991
Epoch: [3][ 0/78]	Time (s): 21.368	Loss: -0.7770
Epoch: [3][10/78]	Time (s):  5.160	Loss: -0.8172
Epoch: [3][20/78]	Time (s):  5.537	Loss: -0.8155
Epoch: [3][30/78]	Time (s):  4.259	Loss: -0.8766
Epoch: [3][40/78]	Time (s):  5.697	Loss: -0.7834
Epoch: [3][50/78]	Time (s):  4.142	Loss: -0.8386
Epoch: [3][60/78]	Time (s):  6.381	Loss: -0.8351
Epoch: [3][70/78]	Time (s):  4.323	Loss: -0.8423
Epoch: [4][ 0/78]	Time (s): 23.845	Loss: -0.8525
Epoch: [4][10/78]	Time (s):  5.488	Loss: -0.8821
Epoch: [4][20/78]	Time (s):  5.679	Loss: -0.8624
Epoch: [4][30/78]	Time (s):  5.499	Loss: -0.8387
Epoch: [4][40/78]	Time (s):  4.910	Loss: -0.8015
Epoch: [4][50/78]	Time (s):  6.817	Loss: -0.8694
Epoch: [4][60/78]	Time (s):  5.105	Loss: -0.8670
Epoch: [4][70/78]	Time (s):  4.887	Loss: -0.8310
Checkpoint 4 saved.
Epoch: [5][ 0/78]	Time (s): 23.312	Loss: -0.8383
Epoch: [5][10/78]	Time (s):  6.589	Loss: -0.8884
Epoch: [5][20/78]	Time (s):  4.903	Loss: -0.8691
Epoch: [5][30/78]	Time (s):  4.962	Loss: -0.8924
Epoch: [5][40/78]	Time (s):  6.378	Loss: -0.8868
Epoch: [5][50/78]	Time (s):  6.095	Loss: -0.8829
Epoch: [5][60/78]	Time (s):  6.436	Loss: -0.8482
Epoch: [5][70/78]	Time (s):  5.744	Loss: -0.8579
Epoch: [6][ 0/78]	Time (s): 21.502	Loss: -0.8751
Epoch: [6][10/78]	Time (s):  4.791	Loss: -0.8181
Epoch: [6][20/78]	Time (s):  4.621	Loss: -0.8167
Epoch: [6][30/78]	Time (s):  5.729	Loss: -0.8768
Epoch: [6][40/78]	Time (s):  5.673	Loss: -0.8371
Epoch: [6][50/78]	Time (s):  5.248	Loss: -0.8720
Epoch: [6][60/78]	Time (s):  5.447	Loss: -0.8692
Epoch: [6][70/78]	Time (s):  4.384	Loss: -0.8555
Epoch: [7][ 0/78]	Time (s): 24.083	Loss: -0.9072
Epoch: [7][10/78]	Time (s):  5.381	Loss: -0.8639
Epoch: [7][20/78]	Time (s):  5.322	Loss: -0.8923
Epoch: [7][30/78]	Time (s):  4.593	Loss: -0.8859
Epoch: [7][40/78]	Time (s):  8.869	Loss: -0.8829
Epoch: [7][50/78]	Time (s):  5.404	Loss: -0.9044
Epoch: [7][60/78]	Time (s):  4.858	Loss: -0.8866
Epoch: [7][70/78]	Time (s):  5.072	Loss: -0.8149
Epoch: [8][ 0/78]	Time (s): 17.518	Loss: -0.9018
Epoch: [8][10/78]	Time (s):  5.083	Loss: -0.8800
Epoch: [8][20/78]	Time (s):  4.573	Loss: -0.8683
Epoch: [8][30/78]	Time (s):  5.245	Loss: -0.8777
Epoch: [8][40/78]	Time (s):  6.259	Loss: -0.8754
Epoch: [8][50/78]	Time (s):  5.779	Loss: -0.8798
Epoch: [8][60/78]	Time (s):  5.214	Loss: -0.8704
Epoch: [8][70/78]	Time (s):  4.990	Loss: -0.8547
Epoch: [9][ 0/78]	Time (s): 17.634	Loss: -0.8913
Epoch: [9][10/78]	Time (s):  4.526	Loss: -0.8596
Epoch: [9][20/78]	Time (s):  4.191	Loss: -0.8931
Epoch: [9][30/78]	Time (s):  6.256	Loss: -0.8800
Epoch: [9][40/78]	Time (s):  5.812	Loss: -0.8575
Epoch: [9][50/78]	Time (s):  6.383	Loss: -0.8555
Epoch: [9][60/78]	Time (s):  4.892	Loss: -0.8523
Epoch: [9][70/78]	Time (s):  4.646	Loss: -0.8886
Checkpoint 9 saved.
Epoch: [10][ 0/78]	Time (s): 20.990	Loss: -0.8879
Epoch: [10][10/78]	Time (s):  5.048	Loss: -0.9143
