Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [0][ 0/78]	Time (s): 35.289	Loss: -0.4107
Epoch: [0][10/78]	Time (s):  0.605	Loss: -0.0395
Epoch: [0][20/78]	Time (s):  0.602	Loss: -0.0307
Epoch: [0][30/78]	Time (s):  0.601	Loss: -0.0475
Epoch: [0][40/78]	Time (s):  0.604	Loss: -0.0472
Epoch: [0][50/78]	Time (s):  0.604	Loss: -0.0503
Epoch: [0][60/78]	Time (s):  0.605	Loss: -0.0630
Epoch: [0][70/78]	Time (s):  0.601	Loss: -0.0736
Epoch: [1][ 0/78]	Time (s): 19.788	Loss: -0.0894
Epoch: [1][10/78]	Time (s):  0.603	Loss: -0.0942
Epoch: [1][20/78]	Time (s):  0.610	Loss: -0.0974
Epoch: [1][30/78]	Time (s):  0.599	Loss: -0.0871
Epoch: [1][40/78]	Time (s):  0.604	Loss: -0.0920
Epoch: [1][50/78]	Time (s):  0.599	Loss: -0.1275
Epoch: [1][60/78]	Time (s):  0.616	Loss: -0.1247
Epoch: [1][70/78]	Time (s):  0.605	Loss: -0.1064
Epoch: [2][ 0/78]	Time (s): 20.274	Loss: -0.1310
Epoch: [2][10/78]	Time (s):  0.601	Loss: -0.1115
Epoch: [2][20/78]	Time (s):  0.649	Loss: -0.1351
Epoch: [2][30/78]	Time (s):  0.611	Loss: -0.1423
Epoch: [2][40/78]	Time (s):  0.604	Loss: -0.1287
Epoch: [2][50/78]	Time (s):  0.607	Loss: -0.2075
Epoch: [2][60/78]	Time (s):  0.600	Loss: -0.2180
Epoch: [2][70/78]	Time (s):  0.603	Loss: -0.2160
Epoch: [3][ 0/78]	Time (s): 20.487	Loss: -0.1959
Epoch: [3][10/78]	Time (s):  0.612	Loss: -0.1894
Epoch: [3][20/78]	Time (s):  0.614	Loss: -0.2167
Epoch: [3][30/78]	Time (s):  0.604	Loss: -0.2300
Epoch: [3][40/78]	Time (s):  0.610	Loss: -0.1579
Epoch: [3][50/78]	Time (s):  0.604	Loss: -0.1653
Epoch: [3][60/78]	Time (s):  0.616	Loss: -0.2575
Epoch: [3][70/78]	Time (s):  0.605	Loss: -0.1221
Epoch: [4][ 0/78]	Time (s): 20.254	Loss: -0.3275
Epoch: [4][10/78]	Time (s):  0.613	Loss: -0.2691
Epoch: [4][20/78]	Time (s):  0.606	Loss: -0.2868
Epoch: [4][30/78]	Time (s):  0.617	Loss: -0.4448
Epoch: [4][40/78]	Time (s):  0.638	Loss: -0.4109
Epoch: [4][50/78]	Time (s):  0.654	Loss: -0.3367
Epoch: [4][60/78]	Time (s):  0.684	Loss: -0.2906
Epoch: [4][70/78]	Time (s):  0.765	Loss: -0.3659
Checkpoint 4 saved.
Epoch: [5][ 0/78]	Time (s): 20.716	Loss: -0.4170
Epoch: [5][10/78]	Time (s):  0.597	Loss: -0.3545
Epoch: [5][20/78]	Time (s):  0.600	Loss: -0.5042
