Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [0][ 0/78]	Time (s): 35.351	Loss: -0.6214
Epoch: [0][10/78]	Time (s):  0.608	Loss: -0.0196
Epoch: [0][20/78]	Time (s):  0.603	Loss: -0.0393
Epoch: [0][30/78]	Time (s):  0.611	Loss: -0.0446
Epoch: [0][40/78]	Time (s):  0.604	Loss: -0.0445
Epoch: [0][50/78]	Time (s):  0.602	Loss: -0.0569
Epoch: [0][60/78]	Time (s):  0.614	Loss: -0.0537
Epoch: [0][70/78]	Time (s):  0.606	Loss: -0.0612
Epoch: [1][ 0/78]	Time (s): 20.296	Loss: -0.0555
Epoch: [1][10/78]	Time (s):  0.606	Loss: -0.0603
Epoch: [1][20/78]	Time (s):  0.606	Loss: -0.0672
Epoch: [1][30/78]	Time (s):  0.611	Loss: -0.0848
Epoch: [1][40/78]	Time (s):  0.604	Loss: -0.0852
Epoch: [1][50/78]	Time (s):  0.609	Loss: -0.0924
Epoch: [1][60/78]	Time (s):  0.603	Loss: -0.0981
Epoch: [1][70/78]	Time (s):  0.612	Loss: -0.0803
Epoch: [2][ 0/78]	Time (s): 20.241	Loss: -0.1133
Epoch: [2][10/78]	Time (s):  0.603	Loss: -0.1267
Epoch: [2][20/78]	Time (s):  0.613	Loss: -0.1316
Epoch: [2][30/78]	Time (s):  0.606	Loss: -0.1290
Epoch: [2][40/78]	Time (s):  0.607	Loss: -0.1345
Epoch: [2][50/78]	Time (s):  0.609	Loss: -0.1719
Epoch: [2][60/78]	Time (s):  0.611	Loss: -0.1551
Epoch: [2][70/78]	Time (s):  0.611	Loss: -0.1645
Epoch: [3][ 0/78]	Time (s): 19.879	Loss: -0.1925
Epoch: [3][10/78]	Time (s):  0.608	Loss: -0.2494
Epoch: [3][20/78]	Time (s):  0.614	Loss: -0.2571
Epoch: [3][30/78]	Time (s):  0.600	Loss: -0.1402
Epoch: [3][40/78]	Time (s):  0.603	Loss: -0.2005
Epoch: [3][50/78]	Time (s):  0.611	Loss: -0.2834
Epoch: [3][60/78]	Time (s):  0.608	Loss: -0.3265
Epoch: [3][70/78]	Time (s):  0.608	Loss: -0.2904
Epoch: [4][ 0/78]	Time (s): 19.843	Loss: -0.3510
Epoch: [4][10/78]	Time (s):  0.604	Loss: -0.2817
Epoch: [4][20/78]	Time (s):  0.608	Loss: -0.2840
Epoch: [4][30/78]	Time (s):  0.613	Loss: -0.3928
Epoch: [4][40/78]	Time (s):  0.611	Loss: -0.3066
Epoch: [4][50/78]	Time (s):  0.610	Loss: -0.3900
Epoch: [4][60/78]	Time (s):  0.607	Loss: -0.3579
Epoch: [4][70/78]	Time (s):  0.605	Loss: -0.3835
Checkpoint 4 saved.
Epoch: [5][ 0/78]	Time (s): 19.889	Loss: -0.5387
Epoch: [5][10/78]	Time (s):  0.606	Loss: -0.4576
Epoch: [5][20/78]	Time (s):  0.608	Loss: -0.4365
Epoch: [5][30/78]	Time (s):  0.614	Loss: -0.5934
Epoch: [5][40/78]	Time (s):  0.606	Loss: -0.4970
Epoch: [5][50/78]	Time (s):  0.606	Loss: -0.5117
Epoch: [5][60/78]	Time (s):  0.608	Loss: -0.6056
Epoch: [5][70/78]	Time (s):  0.609	Loss: -0.7223
Epoch: [6][ 0/78]	Time (s): 20.672	Loss: -0.6242
Epoch: [6][10/78]	Time (s):  0.609	Loss: -0.5698
Epoch: [6][20/78]	Time (s):  0.605	Loss: -0.5872
Epoch: [6][30/78]	Time (s):  0.608	Loss: -0.5937
Epoch: [6][40/78]	Time (s):  0.609	Loss: -0.7562
Epoch: [6][50/78]	Time (s):  0.609	Loss: -0.5657
Epoch: [6][60/78]	Time (s):  0.608	Loss: -0.4151
Epoch: [6][70/78]	Time (s):  0.607	Loss: -0.7649
Epoch: [7][ 0/78]	Time (s): 19.810	Loss: -0.7078
Epoch: [7][10/78]	Time (s):  0.605	Loss: -0.6317
Epoch: [7][20/78]	Time (s):  0.608	Loss: -0.7910
Epoch: [7][30/78]	Time (s):  0.600	Loss: -0.6360
Epoch: [7][40/78]	Time (s):  0.604	Loss: -0.5254
Epoch: [7][50/78]	Time (s):  0.609	Loss: -0.0837
Epoch: [7][60/78]	Time (s):  0.620	Loss: -0.6707
Epoch: [7][70/78]	Time (s):  0.609	Loss: -0.9178
Epoch: [8][ 0/78]	Time (s): 19.914	Loss: -0.6816
Epoch: [8][10/78]	Time (s):  0.611	Loss: -0.8007
Epoch: [8][20/78]	Time (s):  0.603	Loss: -0.7368
Epoch: [8][30/78]	Time (s):  0.608	Loss: -0.7035
Epoch: [8][40/78]	Time (s):  0.609	Loss: -0.5783
Epoch: [8][50/78]	Time (s):  0.606	Loss: -0.8047
Epoch: [8][60/78]	Time (s):  0.596	Loss: -0.7176
Epoch: [8][70/78]	Time (s):  0.615	Loss: -0.7029
Epoch: [9][ 0/78]	Time (s): 19.693	Loss: -0.7063
Epoch: [9][10/78]	Time (s):  0.607	Loss: -0.7425
Epoch: [9][20/78]	Time (s):  0.618	Loss: -0.8304
Epoch: [9][30/78]	Time (s):  0.614	Loss: -0.5981
Epoch: [9][40/78]	Time (s):  0.610	Loss: -0.7730
Epoch: [9][50/78]	Time (s):  0.609	Loss: -0.7694
Epoch: [9][60/78]	Time (s):  0.608	Loss: -0.6243
Epoch: [9][70/78]	Time (s):  0.611	Loss: -0.7246
Checkpoint 9 saved.
Epoch: [10][ 0/78]	Time (s): 19.899	Loss: -0.7187
Epoch: [10][10/78]	Time (s):  0.608	Loss: -0.8564
Epoch: [10][20/78]	Time (s):  0.607	Loss: -0.8210
Epoch: [10][30/78]	Time (s):  0.599	Loss: -0.7712
Epoch: [10][40/78]	Time (s):  0.609	Loss: -0.8157
Epoch: [10][50/78]	Time (s):  0.610	Loss: -0.6939
Epoch: [10][60/78]	Time (s):  0.609	Loss: -0.7421
Epoch: [10][70/78]	Time (s):  0.610	Loss: -0.8494
Epoch: [11][ 0/78]	Time (s): 19.642	Loss: -0.8029
Epoch: [11][10/78]	Time (s):  0.607	Loss: -0.9279
Epoch: [11][20/78]	Time (s):  0.609	Loss: -0.8444
Epoch: [11][30/78]	Time (s):  0.612	Loss: -0.8492
Epoch: [11][40/78]	Time (s):  0.616	Loss: -0.6960
Epoch: [11][50/78]	Time (s):  0.602	Loss: -0.7950
Epoch: [11][60/78]	Time (s):  0.607	Loss: -0.7533
Epoch: [11][70/78]	Time (s):  0.611	Loss: -0.8494
Epoch: [12][ 0/78]	Time (s): 19.982	Loss: -0.8373
Epoch: [12][10/78]	Time (s):  0.605	Loss: -0.7535
Epoch: [12][20/78]	Time (s):  0.608	Loss: -0.6689
Epoch: [12][30/78]	Time (s):  0.617	Loss: -0.8733
Epoch: [12][40/78]	Time (s):  0.611	Loss: -0.8044
Epoch: [12][50/78]	Time (s):  0.619	Loss: -0.7808
Epoch: [12][60/78]	Time (s):  0.606	Loss: -0.7198
Epoch: [12][70/78]	Time (s):  0.607	Loss: -0.7498
Epoch: [13][ 0/78]	Time (s): 19.700	Loss: -0.7732
Epoch: [13][10/78]	Time (s):  0.608	Loss: -0.7351
Epoch: [13][20/78]	Time (s):  0.618	Loss: -0.8256
Epoch: [13][30/78]	Time (s):  0.606	Loss: -0.7210
Epoch: [13][40/78]	Time (s):  0.610	Loss: -0.8062
Epoch: [13][50/78]	Time (s):  0.604	Loss: -0.7734
Epoch: [13][60/78]	Time (s):  0.602	Loss: -0.8604
Epoch: [13][70/78]	Time (s):  0.610	Loss: -0.8940
Epoch: [14][ 0/78]	Time (s): 19.457	Loss: -0.8401
Epoch: [14][10/78]	Time (s):  0.612	Loss: -0.8469
Epoch: [14][20/78]	Time (s):  0.611	Loss: -0.8085
Epoch: [14][30/78]	Time (s):  0.609	Loss: -0.8717
Epoch: [14][40/78]	Time (s):  0.608	Loss: -0.8858
Epoch: [14][50/78]	Time (s):  0.611	Loss: -0.8491
Epoch: [14][60/78]	Time (s):  0.614	Loss: -0.6901
Epoch: [14][70/78]	Time (s):  0.608	Loss: -0.8439
Checkpoint 14 saved.
Epoch: [15][ 0/78]	Time (s): 20.364	Loss: -0.8876
Epoch: [15][10/78]	Time (s):  0.613	Loss: -0.8530
Epoch: [15][20/78]	Time (s):  0.605	Loss: -0.8426
Epoch: [15][30/78]	Time (s):  0.613	Loss: -0.8892
Epoch: [15][40/78]	Time (s):  0.609	Loss: -0.8317
Epoch: [15][50/78]	Time (s):  0.611	Loss: -0.8594
Epoch: [15][60/78]	Time (s):  0.609	Loss: -0.8565
Epoch: [15][70/78]	Time (s):  0.613	Loss: -0.8069
Epoch: [16][ 0/78]	Time (s): 19.853	Loss: -0.8256
Epoch: [16][10/78]	Time (s):  0.609	Loss: -0.8482
