Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [0][  0/206]	Time (s): 35.790	Loss: -0.8185
Epoch: [0][ 10/206]	Time (s):  1.232	Loss: -0.4061
Epoch: [0][ 20/206]	Time (s):  1.001	Loss: -0.3581
Epoch: [0][ 30/206]	Time (s):  1.010	Loss: -0.2665
Epoch: [0][ 40/206]	Time (s):  1.187	Loss: -0.2854
Epoch: [0][ 50/206]	Time (s):  0.985	Loss: -0.6128
Epoch: [0][ 60/206]	Time (s):  1.422	Loss: -0.4903
Epoch: [0][ 70/206]	Time (s):  0.991	Loss: -0.7548
Epoch: [0][ 80/206]	Time (s):  1.360	Loss: -0.4783
Epoch: [0][ 90/206]	Time (s):  0.990	Loss: -0.6566
Epoch: [0][100/206]	Time (s):  0.993	Loss: -0.3810
Epoch: [0][110/206]	Time (s):  1.131	Loss: -0.4750
Epoch: [0][120/206]	Time (s):  0.990	Loss: -0.5593
Epoch: [0][130/206]	Time (s):  0.988	Loss: -0.5409
Epoch: [0][140/206]	Time (s):  0.990	Loss: -0.5246
Epoch: [0][150/206]	Time (s):  1.449	Loss: -0.4070
Epoch: [0][160/206]	Time (s):  1.153	Loss: -0.5326
Epoch: [0][170/206]	Time (s):  1.053	Loss: -0.5525
Epoch: [0][180/206]	Time (s):  1.256	Loss: -0.5648
Epoch: [0][190/206]	Time (s):  0.989	Loss: -0.4281
Epoch: [0][200/206]	Time (s):  1.099	Loss: -0.6600
Epoch: [1][  0/206]	Time (s): 24.950	Loss: -0.5866
Epoch: [1][ 10/206]	Time (s):  1.238	Loss: -0.4977
Epoch: [1][ 20/206]	Time (s):  0.988	Loss: -0.6474
Epoch: [1][ 30/206]	Time (s):  0.996	Loss: -0.7011
Epoch: [1][ 40/206]	Time (s):  0.989	Loss: -0.4441
Epoch: [1][ 50/206]	Time (s):  0.994	Loss: -0.5629
Epoch: [1][ 60/206]	Time (s):  0.998	Loss: -0.5609
Epoch: [1][ 70/206]	Time (s):  0.988	Loss: -0.5427
Epoch: [1][ 80/206]	Time (s):  1.035	Loss: -0.4812
Epoch: [1][ 90/206]	Time (s):  0.985	Loss: -0.5850
Epoch: [1][100/206]	Time (s):  0.989	Loss: -0.4700
Epoch: [1][110/206]	Time (s):  0.991	Loss: -0.5887
Epoch: [1][120/206]	Time (s):  0.989	Loss: -0.7148
Epoch: [1][130/206]	Time (s):  0.990	Loss: -0.4909
Epoch: [1][140/206]	Time (s):  0.994	Loss: -0.4771
Epoch: [1][150/206]	Time (s):  0.991	Loss: -0.5578
Epoch: [1][160/206]	Time (s):  1.168	Loss: -0.6843
Epoch: [1][170/206]	Time (s):  0.990	Loss: -0.7297
Epoch: [1][180/206]	Time (s):  0.993	Loss: -0.5167
Epoch: [1][190/206]	Time (s):  1.204	Loss: -0.5609
Epoch: [1][200/206]	Time (s):  0.992	Loss: -0.5718
Epoch: [2][  0/206]	Time (s): 23.831	Loss: -0.6847
Epoch: [2][ 10/206]	Time (s):  1.002	Loss: -0.5825
Epoch: [2][ 20/206]	Time (s):  0.986	Loss: -0.6452
Epoch: [2][ 30/206]	Time (s):  1.047	Loss: -0.6003
Epoch: [2][ 40/206]	Time (s):  1.047	Loss: -0.5985
Epoch: [2][ 50/206]	Time (s):  1.002	Loss: -0.6546
